1,2
1,3
1,22
1,72
2,82
3,4
4,18
4,85
5,44
6,61
7,21
7,33
7,52
7,53
7,55
8,61
10,56
11,43
13,84
14,19
15,90
16,29
17,40
17,83
18,28
18,53
18,80
19,24
19,48
19,64
19,81
21,71
22,29
22,36
23,51
23,54
24,44
24,85
25,32
25,44
25,79
26,45
27,64
28,60
29,57
30,45
30,61
30,87
31,53
31,63
32,82
33,38
34,41
34,48
35,64
36,43
36,50
37,59
37,94
38,94
39,88
40,63
41,66
43,88
46,47
47,77
48,67
48,74
48,77
48,95
51,55
51,73
51,88
52,61
53,98
54,64
54,74
56,81
57,99
59,66
60,98
61,98
62,96
62,99
64,87
71,72
73,88
73,89
75,94
76,80
77,96
78,84
79,99
80,87
87,99
89,99
94,95
97,100
