1,65
2,65
3,66
4,66
5,67
6,67
7,68
8,68
9,69
10,69
11,70
12,70
13,71
14,71
15,72
16,72
17,73
18,73
19,74
20,74
21,75
22,75
23,76
24,76
25,77
26,77
27,78
28,78
29,79
30,79
31,80
32,80
33,81
34,81
35,82
36,82
37,83
38,83
39,84
40,84
41,85
42,85
43,86
44,86
45,87
46,87
47,88
48,88
49,89
50,89
51,90
52,90
53,91
54,91
55,92
56,92
57,93
58,93
59,94
60,94
61,95
62,95
63,96
64,96
65,97
66,97
67,98
68,98
69,99
70,99
71,100
72,100
73,101
74,101
75,102
76,102
77,103
78,103
79,104
80,104
81,105
82,105
83,106
84,106
85,107
86,107
87,108
88,108
89,109
90,109
91,110
92,110
93,111
94,111
95,112
96,112
97,113
98,113
99,114
100,114
101,115
102,115
103,116
104,116
105,117
106,117
107,118
108,118
109,119
110,119
111,120
112,120
113,121
114,121
115,122
116,122
117,123
118,123
119,124
120,124
121,125
122,125
123,126
124,126
125,127
126,127
